,value,prc
minutes_played,0,0.0
personal_fouls,2536,0.3867622388287327
turnovers,2545,0.38813481775202074
offensive_rebounds,2903,0.44273295714503585
attempted_field_goals,2957,0.4509684306847644
team,3263,0.4976361140765594
attempted_three_point_field_goals,3284,0.5008387982308983
steals,3487,0.5317980783895074
attempted_free_throws,3559,0.5427787097758121
blocks,3562,0.5432362360835749
free_throw_pct,3577,0.5455238676223882
made_free_throws,3711,0.5659600427024554
assists_per_fg,3746,0.5712978496263535
made_three_point_field_goals,3974,0.6060698490163184
assists,4415,0.6733262162574348
three_point_pct,4570,0.6969650754918408
defensive_rebounds,4660,0.7106908647247216
made_field_goals,4870,0.7427177062681104
field_goal_pct,5248,0.8003660210462101
